lang,file,core_extended,speaker,wd_ID,wd,start,end,ref,tx,ft,mb_ID,mb,doreco-mb-algn,ps,gl,ph_ID,ph
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000001,<p:>,0.000,1.550,<p:>,<p:>,<p:>,m000001,<p:>,<p:>,,<p:>,p000001,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000002,jaʔokeh,1.550,2.080,0001_doreco_jeha1242_Blan_route_retell_DP_25Feb12,jaʔokeh,ready?,m000002 m000003,ja= ʔokeh,**** ****,,RT= okay,p000002 p000003 p000004 p000005 p000006 p000007 p000008,J\ a ? o k e h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000003,<p:>,2.080,2.850,<p:>,<p:>,<p:>,m000004,<p:>,<p:>,,<p:>,p000009,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000004,ləpas,2.850,3.120,0002_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton,then,m000005,lpas,****,,after,p000010 p000011 p000012 p000013 p000014,l @ p a s
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000005,ton,3.120,3.450,0002_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton,then,m000006,ton,****,,DEM,p000015 p000016 p000017,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000006,<p:>,3.450,4.286,<p:>,<p:>,<p:>,m000007,<p:>,<p:>,,<p:>,p000018,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000007,canʔə̃h,4.286,4.692,0003_doreco_jeha1242_Blan_route_retell_DP_25Feb12,canʔə̃h wɛy pagiʔ,from here yesterday morning,m000008 m000009,can= ʔə̃h,**** ****,,SOURCE= DEM,p000019 p000020 p000021 p000022 p000023 p000024,c a n ? @~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000008,wɛy,4.692,4.960,0003_doreco_jeha1242_Blan_route_retell_DP_25Feb12,canʔə̃h wɛy pagiʔ,from here yesterday morning,m000010,wɛy,****,,PAST,p000025 p000026 p000027,w E j
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000009,<p:>,4.960,5.050,0003_doreco_jeha1242_Blan_route_retell_DP_25Feb12,canʔə̃h wɛy pagiʔ,from here yesterday morning,m000011,<p:>,<p:>,,<p:>,p000028,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000010,pagiʔ,5.050,5.580,0003_doreco_jeha1242_Blan_route_retell_DP_25Feb12,canʔə̃h wɛy pagiʔ,from here yesterday morning,m000012,pagiʔ,****,,morning,p000029 p000030 p000031 p000032 p000033,p a g i ?
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000011,<p:>,5.580,6.196,<p:>,<p:>,<p:>,m000013,<p:>,<p:>,,<p:>,p000034,<p:>
